train step=2880 loss=5.0967 avg_loss=6.0049 acc1=12.50
train step=2900 loss=5.0051 avg_loss=5.9976 acc1=14.06
train step=2920 loss=4.9533 avg_loss=5.9905 acc1=9.38
train step=2940 loss=4.9201 avg_loss=5.9835 acc1=7.81
train step=2960 loss=4.8598 avg_loss=5.9766 acc1=15.62
train step=2980 loss=5.2126 avg_loss=5.9698 acc1=6.25
train step=3000 loss=4.8845 avg_loss=5.9627 acc1=15.62
train step=3020 loss=4.8462 avg_loss=5.9556 acc1=15.62
train step=3040 loss=4.6836 avg_loss=5.9481 acc1=21.88
train step=3060 loss=4.8962 avg_loss=5.9414 acc1=17.19
train step=3080 loss=4.5461 avg_loss=5.9342 acc1=23.44
train step=3100 loss=4.6738 avg_loss=5.9271 acc1=18.75
train step=3120 loss=4.8622 avg_loss=5.9204 acc1=17.19
train step=3140 loss=4.6914 avg_loss=5.9133 acc1=21.88
train step=3160 loss=4.8641 avg_loss=5.9064 acc1=17.19
train step=3180 loss=4.8977 avg_loss=5.8995 acc1=12.50
train step=3200 loss=4.6628 avg_loss=5.8928 acc1=9.38
train step=3220 loss=4.8472 avg_loss=5.8856 acc1=10.94
train step=3240 loss=4.5940 avg_loss=5.8788 acc1=21.88
train step=3260 loss=4.7039 avg_loss=5.8720 acc1=18.75
train step=3280 loss=4.8244 avg_loss=5.8652 acc1=9.38
train step=3300 loss=5.0672 avg_loss=5.8588 acc1=4.69
train step=3320 loss=4.7306 avg_loss=5.8520 acc1=17.19
train step=3340 loss=4.5019 avg_loss=5.8455 acc1=18.75
train step=3360 loss=4.6244 avg_loss=5.8386 acc1=18.75
train step=3380 loss=4.3733 avg_loss=5.8317 acc1=25.00
train step=3400 loss=4.5518 avg_loss=5.8250 acc1=23.44
train step=3420 loss=4.5649 avg_loss=5.8183 acc1=17.19
train step=3440 loss=4.7255 avg_loss=5.8116 acc1=9.38
train step=3460 loss=4.7912 avg_loss=5.8046 acc1=15.62
train step=3480 loss=5.0136 avg_loss=5.7981 acc1=7.81
train step=3500 loss=4.3918 avg_loss=5.7913 acc1=20.31
train step=3520 loss=4.7267 avg_loss=5.7845 acc1=17.19
train step=3540 loss=4.5203 avg_loss=5.7778 acc1=18.75
train step=3560 loss=4.5767 avg_loss=5.7712 acc1=17.19
train step=3580 loss=4.4506 avg_loss=5.7642 acc1=17.19
train step=3600 loss=4.4911 avg_loss=5.7573 acc1=20.31
train step=3620 loss=4.6088 avg_loss=5.7509 acc1=10.94
train step=3640 loss=4.7026 avg_loss=5.7439 acc1=14.06
train step=3660 loss=4.8604 avg_loss=5.7372 acc1=12.50
train step=3680 loss=4.7809 avg_loss=5.7310 acc1=10.94
train step=3700 loss=4.3067 avg_loss=5.7244 acc1=20.31
train step=3720 loss=4.7346 avg_loss=5.7181 acc1=17.19
train step=3740 loss=4.6464 avg_loss=5.7111 acc1=17.19
train step=3760 loss=4.4744 avg_loss=5.7045 acc1=18.75
train step=3780 loss=4.3615 avg_loss=5.6977 acc1=21.88
train step=3800 loss=4.6193 avg_loss=5.6913 acc1=14.06
train step=3820 loss=4.3605 avg_loss=5.6846 acc1=28.12
train step=3840 loss=4.3365 avg_loss=5.6782 acc1=17.19
train step=3860 loss=4.3902 avg_loss=5.6717 acc1=18.75
train step=3880 loss=4.1488 avg_loss=5.6649 acc1=15.62
train step=3900 loss=4.2102 avg_loss=5.6579 acc1=25.00
train step=3920 loss=4.3083 avg_loss=5.6517 acc1=9.38
train step=3940 loss=4.3262 avg_loss=5.6455 acc1=14.06
