Namespace(method='qvit_lsq_qsam_sam', variant='B_32', nbits=4, data_path='/workspace/AOQ-main/AO_QAT/data', download=False, input_size=224, epochs=100, batch_size=64, workers=8, lr=0.0005, min_lr=1e-05, weight_decay=0.05, device='cuda', seed=42, output_dir='/workspace/AOQ-main/runs/google_vit_cifar100_qvit_lsq_qsam_sam_rho025_wu5_20260716_144000', finetune='auto', no_finetune=False, qsam_ratio=0.001, qsam_rho=0.25, qsam_warmup_epochs=5, debug_train_batches=0, debug_val_batches=0, print_freq=20)
[google-vit] source repo: /workspace/AOQ-main/third_party/vision_transformer
[qat] method=QViT-LSQ nbits=4 qsam=True loop=two_pass
[finetune] init from https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_vit_base_patch32_224_in21k-8db57226.pth
[finetune] missing (542): ['patch_embed.proj.alpha', 'patch_embed.proj.init_state', 'patch_embed.proj.act.alpha', 'patch_embed.proj.act.zero_point', 'patch_embed.proj.act.init_state', 'patch_embed.proj.act.signed', 'blocks.0.attn.norm_q.weight', 'blocks.0.attn.norm_q.bias', 'blocks.0.attn.norm_k.weight', 'blocks.0.attn.norm_k.bias', 'blocks.0.attn.qkv.alpha', 'blocks.0.attn.qkv.init_state']
[finetune] unexpected (2): ['pre_logits.fc.bias', 'pre_logits.fc.weight']
train step=200 loss=2.1251 avg_loss=2.0425 acc1=48.44
train step=220 loss=2.0820 avg_loss=2.0421 acc1=46.88
train step=240 loss=2.0841 avg_loss=2.0387 acc1=45.31
train step=260 loss=2.3126 avg_loss=2.0391 acc1=39.06
train step=280 loss=2.1033 avg_loss=2.0381 acc1=46.88
train step=300 loss=1.9775 avg_loss=2.0394 acc1=57.81
train step=320 loss=2.2366 avg_loss=2.0405 acc1=48.44
train step=340 loss=1.9970 avg_loss=2.0356 acc1=46.88
train step=360 loss=1.7424 avg_loss=2.0357 acc1=48.44
train step=380 loss=2.2045 avg_loss=2.0367 acc1=45.31
train step=400 loss=2.2711 avg_loss=2.0322 acc1=43.75
train step=420 loss=1.8647 avg_loss=2.0268 acc1=45.31
train step=440 loss=1.8515 avg_loss=2.0278 acc1=50.00
train step=460 loss=1.9259 avg_loss=2.0238 acc1=51.56
train step=480 loss=1.9899 avg_loss=2.0224 acc1=51.56
train step=500 loss=1.6202 avg_loss=2.0194 acc1=54.69
train step=520 loss=2.3718 avg_loss=2.0206 acc1=45.31
train step=540 loss=2.1438 avg_loss=2.0179 acc1=54.69
train step=560 loss=1.8650 avg_loss=2.0170 acc1=54.69
train step=580 loss=1.8073 avg_loss=2.0129 acc1=54.69
train step=600 loss=1.9972 avg_loss=2.0144 acc1=51.56
train step=620 loss=1.5616 avg_loss=2.0113 acc1=57.81
train step=640 loss=2.1516 avg_loss=2.0074 acc1=45.31
train step=660 loss=1.4260 avg_loss=2.0048 acc1=65.62
train step=680 loss=1.8631 avg_loss=2.0049 acc1=48.44
train step=700 loss=2.1485 avg_loss=2.0017 acc1=42.19
train step=720 loss=2.0580 avg_loss=1.9996 acc1=48.44
train step=740 loss=1.8370 avg_loss=1.9981 acc1=53.12
train step=760 loss=1.9603 avg_loss=1.9951 acc1=51.56
train step=780 loss=2.0388 avg_loss=1.9933 acc1=46.88
epoch=3 train_acc1=50.578 val_acc1=76.890 val_acc5=96.460 best=76.890
train step=0 loss=1.7195 avg_loss=1.7195 acc1=59.38
train step=20 loss=1.4277 avg_loss=1.8561 acc1=65.62
train step=40 loss=1.7526 avg_loss=1.9062 acc1=56.25
train step=60 loss=1.5350 avg_loss=1.8789 acc1=57.81
train step=80 loss=2.0309 avg_loss=1.8748 acc1=45.31
train step=100 loss=2.0287 avg_loss=1.8944 acc1=45.31
train step=120 loss=2.0809 avg_loss=1.8913 acc1=56.25
train step=140 loss=1.9920 avg_loss=1.8854 acc1=43.75
train step=160 loss=1.9991 avg_loss=1.8862 acc1=53.12
train step=180 loss=2.1850 avg_loss=1.8834 acc1=42.19
train step=200 loss=2.0021 avg_loss=1.8821 acc1=46.88
train step=220 loss=2.0866 avg_loss=1.8895 acc1=53.12
train step=240 loss=1.8843 avg_loss=1.8914 acc1=46.88
train step=260 loss=1.6429 avg_loss=1.8880 acc1=56.25
train step=280 loss=1.7808 avg_loss=1.8883 acc1=57.81
train step=300 loss=1.8080 avg_loss=1.8832 acc1=53.12
train step=320 loss=2.3288 avg_loss=1.8788 acc1=37.50
train step=340 loss=1.6072 avg_loss=1.8734 acc1=57.81
train step=360 loss=1.7683 avg_loss=1.8732 acc1=56.25
train step=380 loss=1.7658 avg_loss=1.8687 acc1=56.25
train step=400 loss=1.9492 avg_loss=1.8662 acc1=45.31
train step=420 loss=2.1826 avg_loss=1.8654 acc1=45.31
train step=440 loss=2.2231 avg_loss=1.8632 acc1=45.31
train step=460 loss=1.8576 avg_loss=1.8613 acc1=57.81
train step=480 loss=1.6762 avg_loss=1.8575 acc1=56.25
train step=500 loss=1.5799 avg_loss=1.8541 acc1=64.06
train step=520 loss=1.7974 avg_loss=1.8516 acc1=59.38
train step=540 loss=1.7910 avg_loss=1.8491 acc1=56.25
train step=560 loss=1.8615 avg_loss=1.8500 acc1=56.25
train step=580 loss=2.0353 avg_loss=1.8471 acc1=43.75
train step=600 loss=1.5029 avg_loss=1.8436 acc1=60.94
train step=620 loss=1.7026 avg_loss=1.8410 acc1=59.38
train step=640 loss=1.6823 avg_loss=1.8390 acc1=56.25
train step=660 loss=1.5275 avg_loss=1.8368 acc1=60.94
train step=680 loss=1.7428 avg_loss=1.8366 acc1=62.50
train step=700 loss=2.1284 avg_loss=1.8339 acc1=45.31
train step=720 loss=1.4599 avg_loss=1.8311 acc1=62.50
train step=740 loss=1.9562 avg_loss=1.8303 acc1=46.88
train step=760 loss=1.9333 avg_loss=1.8302 acc1=48.44
train step=780 loss=1.4912 avg_loss=1.8298 acc1=65.62
epoch=4 train_acc1=53.853 val_acc1=79.430 val_acc5=97.130 best=79.430
train step=0 loss=2.0258 sam_loss=3.1368 avg_loss=2.0258 acc1=46.88
train step=20 loss=1.5523 sam_loss=2.3651 avg_loss=1.7870 acc1=60.94
train step=40 loss=1.4964 sam_loss=2.3373 avg_loss=1.7862 acc1=62.50
train step=60 loss=2.1180 sam_loss=2.9211 avg_loss=1.7901 acc1=46.88
train step=80 loss=1.3937 sam_loss=2.0420 avg_loss=1.7821 acc1=64.06
train step=100 loss=2.0325 sam_loss=2.7487 avg_loss=1.7895 acc1=53.12
train step=120 loss=1.5285 sam_loss=2.2256 avg_loss=1.7813 acc1=64.06
train step=140 loss=1.9096 sam_loss=2.5563 avg_loss=1.7921 acc1=57.81
train step=160 loss=1.7783 sam_loss=2.4388 avg_loss=1.8017 acc1=59.38
train step=180 loss=1.7633 sam_loss=2.4130 avg_loss=1.8016 acc1=60.94
train step=200 loss=1.8738 sam_loss=2.6130 avg_loss=1.8053 acc1=51.56
train step=220 loss=1.7378 sam_loss=2.4488 avg_loss=1.8050 acc1=53.12
train step=240 loss=1.8160 sam_loss=2.4607 avg_loss=1.8025 acc1=54.69
train step=260 loss=1.9842 sam_loss=2.7149 avg_loss=1.8017 acc1=53.12
train step=280 loss=1.8392 sam_loss=2.5213 avg_loss=1.7987 acc1=50.00
train step=300 loss=1.6920 sam_loss=2.3782 avg_loss=1.7945 acc1=57.81
train step=320 loss=2.3491 sam_loss=3.0470 avg_loss=1.7993 acc1=45.31
train step=340 loss=1.7067 sam_loss=2.3757 avg_loss=1.7944 acc1=60.94
train step=360 loss=1.7044 sam_loss=2.3635 avg_loss=1.7961 acc1=59.38
train step=380 loss=1.8380 sam_loss=2.4912 avg_loss=1.7978 acc1=54.69
train step=400 loss=1.7528 sam_loss=2.3132 avg_loss=1.8027 acc1=50.00
train step=420 loss=1.7253 sam_loss=2.3443 avg_loss=1.8050 acc1=56.25
train step=440 loss=1.9486 sam_loss=2.5892 avg_loss=1.8069 acc1=53.12
train step=460 loss=1.5438 sam_loss=2.1647 avg_loss=1.8057 acc1=70.31
train step=480 loss=2.0270 sam_loss=2.6518 avg_loss=1.8041 acc1=46.88
train step=500 loss=1.7914 sam_loss=2.4193 avg_loss=1.8051 acc1=57.81
train step=520 loss=1.5297 sam_loss=2.1016 avg_loss=1.8064 acc1=56.25
train step=540 loss=1.8091 sam_loss=2.4158 avg_loss=1.8056 acc1=50.00
train step=560 loss=1.6982 sam_loss=2.2960 avg_loss=1.8058 acc1=64.06
train step=580 loss=2.0566 sam_loss=2.6309 avg_loss=1.8071 acc1=46.88
train step=600 loss=1.4817 sam_loss=2.1087 avg_loss=1.8052 acc1=64.06
train step=620 loss=1.9346 sam_loss=2.5535 avg_loss=1.8059 acc1=48.44
train step=640 loss=1.9726 sam_loss=2.6317 avg_loss=1.8049 acc1=48.44
train step=660 loss=1.7849 sam_loss=2.3925 avg_loss=1.8067 acc1=64.06
train step=680 loss=1.8069 sam_loss=2.4242 avg_loss=1.8068 acc1=56.25
train step=700 loss=2.1024 sam_loss=2.7955 avg_loss=1.8070 acc1=50.00
train step=720 loss=2.1246 sam_loss=2.8060 avg_loss=1.8071 acc1=43.75
train step=740 loss=2.0591 sam_loss=2.6656 avg_loss=1.8080 acc1=48.44
train step=760 loss=1.9620 sam_loss=2.6334 avg_loss=1.8067 acc1=51.56
train step=780 loss=1.6786 sam_loss=2.3014 avg_loss=1.8057 acc1=62.50
epoch=5 train_acc1=55.748 val_acc1=80.570 val_acc5=97.470 best=80.570
train step=0 loss=1.8161 sam_loss=2.3733 avg_loss=1.8161 acc1=56.25
train step=20 loss=1.8020 sam_loss=2.4001 avg_loss=1.8056 acc1=54.69
train step=40 loss=1.8047 sam_loss=2.3845 avg_loss=1.7630 acc1=60.94
train step=60 loss=1.7003 sam_loss=2.2631 avg_loss=1.7497 acc1=57.81
train step=80 loss=1.4974 sam_loss=2.1585 avg_loss=1.7526 acc1=56.25
train step=100 loss=1.9523 sam_loss=2.5749 avg_loss=1.7441 acc1=48.44
train step=120 loss=1.7529 sam_loss=2.3346 avg_loss=1.7469 acc1=57.81
train step=140 loss=1.9384 sam_loss=2.5398 avg_loss=1.7406 acc1=51.56
train step=160 loss=1.6916 sam_loss=2.2871 avg_loss=1.7354 acc1=57.81
train step=180 loss=1.7813 sam_loss=2.4604 avg_loss=1.7367 acc1=60.94
train step=200 loss=1.7065 sam_loss=2.3793 avg_loss=1.7378 acc1=54.69
train step=220 loss=1.3148 sam_loss=1.8298 avg_loss=1.7376 acc1=68.75
train step=240 loss=1.8436 sam_loss=2.4463 avg_loss=1.7377 acc1=56.25
train step=260 loss=1.4712 sam_loss=2.0467 avg_loss=1.7409 acc1=65.62
train step=280 loss=1.8026 sam_loss=2.4058 avg_loss=1.7408 acc1=54.69
train step=300 loss=2.0689 sam_loss=2.7409 avg_loss=1.7429 acc1=46.88
train step=320 loss=1.7343 sam_loss=2.3272 avg_loss=1.7447 acc1=56.25
train step=340 loss=1.7754 sam_loss=2.3877 avg_loss=1.7438 acc1=57.81
train step=360 loss=1.7949 sam_loss=2.3416 avg_loss=1.7443 acc1=59.38
train step=380 loss=1.8748 sam_loss=2.4336 avg_loss=1.7450 acc1=50.00
train step=400 loss=1.3382 sam_loss=1.8387 avg_loss=1.7452 acc1=67.19
train step=420 loss=1.9110 sam_loss=2.5669 avg_loss=1.7423 acc1=45.31
train step=440 loss=1.5934 sam_loss=2.1712 avg_loss=1.7432 acc1=62.50
train step=460 loss=1.6565 sam_loss=2.2136 avg_loss=1.7397 acc1=57.81
train step=480 loss=1.7653 sam_loss=2.4141 avg_loss=1.7401 acc1=51.56
train step=500 loss=1.7847 sam_loss=2.3982 avg_loss=1.7376 acc1=48.44
train step=520 loss=1.6618 sam_loss=2.2215 avg_loss=1.7364 acc1=59.38
train step=540 loss=2.0045 sam_loss=2.5530 avg_loss=1.7377 acc1=48.44
train step=560 loss=1.7584 sam_loss=2.4516 avg_loss=1.7372 acc1=59.38
train step=580 loss=1.8040 sam_loss=2.3778 avg_loss=1.7378 acc1=50.00
train step=600 loss=1.5119 sam_loss=2.0100 avg_loss=1.7391 acc1=60.94
train step=620 loss=1.8728 sam_loss=2.3647 avg_loss=1.7385 acc1=50.00
train step=640 loss=1.9386 sam_loss=2.5178 avg_loss=1.7380 acc1=54.69
train step=660 loss=1.7242 sam_loss=2.2737 avg_loss=1.7350 acc1=57.81
train step=680 loss=1.6752 sam_loss=2.2883 avg_loss=1.7337 acc1=57.81
train step=700 loss=1.7941 sam_loss=2.4516 avg_loss=1.7340 acc1=56.25
train step=720 loss=1.7046 sam_loss=2.3156 avg_loss=1.7345 acc1=54.69
train step=740 loss=1.6476 sam_loss=2.1817 avg_loss=1.7319 acc1=56.25
train step=760 loss=1.6310 sam_loss=2.1270 avg_loss=1.7327 acc1=60.94
train step=780 loss=1.4385 sam_loss=2.0296 avg_loss=1.7309 acc1=65.62
epoch=6 train_acc1=57.212 val_acc1=81.340 val_acc5=97.550 best=81.340
train step=0 loss=1.7031 sam_loss=2.2334 avg_loss=1.7031 acc1=60.94
train step=20 loss=1.7738 sam_loss=2.3354 avg_loss=1.6820 acc1=50.00
train step=40 loss=1.8348 sam_loss=2.4509 avg_loss=1.7021 acc1=48.44
train step=60 loss=1.5350 sam_loss=2.1106 avg_loss=1.6934 acc1=62.50
